XLogP,LipinskiFailures,nRotB,nAtomLAC,nAtomP,nBase,nAcid,nRings5,nRings7,WTPT.2,WTPT.3,WTPT.4,TopoPSA,topoShape,geomShape,MDEC.11,MDEC.12,MDEC.13,MDEC.33,MDEC.44,MDEO.11,MDEO.12,MDEN.22,MDEN.23,khs.dCH2,khs.dsCH,khs.dssC,khs.aaaC,khs.sNH2,khs.dsN,khs.sssN,khs.sOH,khs.dO,khs.aaO,khs.dsssP,khs.ddssS,khs.sCl,khs.sBr,FMF,SC.3,SC.6,SCH.6,C1SP2,C4SP3,ATSc4,ATSc5,Wlambda2.unity,Weta1.unity,Weta2.unity,Weta3.unity,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,nHBDon,PPSA.3,RPCG,RPCS,RNCS,TPSA,y_var
3.608,0,1,2,3,0,0,0,2,2.07947434465492,15.1069845610343,15.1069845610343,53.99,1.0,0.75510488874809,0.431527186998591,3.92166300044443,4.77836488566135,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.35555555555555607,2.36408224272676,0.0895762464275441,0.138427268806371,1,0,-0.0973599336587515,0.0385595418963993,3.4673903574266296,0.496616065817786,0.45192183913157896,0.465838663291334,11.999,16.0949841324537,-0.314395859031156,0.267461687905785,4.90228256001586,0,11.037976688538699,0.163394462450158,0.11818631649969198,1.95831324637679,71.8422026016792,1.4
5.8839999999999995,1,5,6,3,0,0,0,2,2.0679596045777697,15.1575001058514,15.1575001058514,53.99,1.0,0.8069038737329829,0.32424965862401395,5.16492298358262,3.72561284464846,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.280701754385965,2.36408224272676,0.0895762464275441,0.138427268806371,1,0,-0.0973631978706951,0.0385694309825952,3.0070083590220897,0.48345793312030205,0.36156366395379796,0.466187013132406,11.999,16.0949862245043,-0.31440808104187,0.26748674712793397,5.0496371370832405,0,16.5766930268158,0.144581466034498,0.763877878311083,1.8779769393987802,80.35816035016559,0.86
4.685,0,2,3,3,0,0,0,2,2.0661285566562597,15.138727667049501,15.138727667049501,53.99,0.8,0.8050417574740479,0.9531842929969371,4.54615554668197,7.004430672363441,8.04717859695025,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.313725490196078,2.77233053319062,0.0895762464275441,0.138427268806371,1,0,-0.0973663476105031,0.0385791531605612,3.00705045053192,0.48588729515151596,0.439398039366222,0.503831929947563,11.999,16.0949851779512,-0.314401962258266,0.267488678771385,5.05946885479638,0,11.4379599655858,0.15383539980404698,0.22738204591588396,1.87451121605573,79.47103676214641,-0.55
5.8229999999999995,1,4,5,3,0,0,0,2,2.06123310717313,15.1553327733918,15.1553327733918,53.99,0.833333333333333,0.868295387864625,0.827605714964634,5.5932439208107105,5.9070016829720995,7.08457833300813,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.280701754385965,2.77233053319062,0.0895762464275441,0.138427268806371,1,0,-0.0973631978811164,0.0385694308981264,3.12090853341246,0.48221626003574697,0.379992404397204,0.516685867038903,11.999,16.0949862245043,-0.31440802580987,0.26748681139937097,5.05946749910785,0,15.893727419587801,0.14497655591852,0.7614059685359241,1.91222901701498,75.8946689565,-0.04
4.1160000000000005,0,1,3,3,0,0,0,2,2.06853616521735,15.1165875252598,15.1165875252598,53.99,1.0,0.7738840427093829,1.03647389205951,3.7722323173544705,7.876890297127759,8.90736109320038,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.33333333333333304,2.67244392368325,0.0895762464275441,0.138427268806371,1,0,-0.09700580497290302,0.0383304868835776,3.31697927093589,0.518167207095616,0.45905550255328603,0.517731191432447,11.999,16.0949846550706,-0.31439889227212897,0.267729988467882,5.05946962788295,0,10.7993460012387,0.15868413812979598,0.144721662413073,1.93182170580173,71.1195708415066,-0.04
5.254,1,3,4,3,0,0,0,2,2.06364739113543,15.1497977379444,15.1497977379444,53.99,1.0,0.96164879379858,0.8848579141499341,5.13076952761332,6.3826382760385405,7.4925629648242,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.296296296296296,2.77233053319062,0.0895762464275441,0.138427268806371,1,0,-0.0973632130285525,0.0385693891853677,3.15136164063516,0.505638747230149,0.40698636847085295,0.514625029254706,11.999,16.094985701095702,-0.314405002952824,0.267483099383994,5.05946812560976,0,12.560151838935,0.14928089704424,0.136145804119918,1.8190778523154199,70.57847241308009,0.07
5.74,1,4,3,6,0,0,0,2,2.0934315385557,17.820024511730498,15.300630499504098,53.99,0.857142857142857,0.756396782785621,0.0,2.06726261285032,1.69208837690545,4.70209616031129,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.45454545454545503,2.5805881562544,0.0958191595217549,0.230589414506254,1,0,-0.0943083903731558,0.0226832674065701,3.22697396945669,0.495890855664609,0.42505335818004397,0.485878111346334,11.999,34.9688539033301,-0.31412406566187895,0.264379063018443,4.472998633028441,0,17.1796069159979,0.13495033137357101,0.305568427369989,0.9818851336416851,82.2792524390666,0.1
4.5489999999999995,0,3,2,6,0,0,0,2,2.10614650466913,15.3052197106444,15.3052197106444,53.99,0.833333333333333,0.809724372963037,0.0,2.0815912553816203,1.76638776450072,4.548854739162099,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.46153846153846206,2.2919130216595898,0.0958191595217549,0.24931815378888603,1,0,-0.11319932805222802,0.0430836154712007,2.65209445470577,0.499218523366568,0.345990100661218,0.451566873151144,11.999,16.094986748177302,-0.314106917339335,0.264368565773298,4.47502610231629,0,17.7738569341054,0.139508853116659,0.315890301395711,0.991409780599207,85.5053653887612,-2.0
4.242,0,3,4,3,0,0,0,2,2.0848766494653,15.269076403621199,15.269076403621199,53.99,0.8,0.9658498878919959,0.111111111111111,3.6862082726157497,2.1798065437387,4.20685701919088,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.33333333333333304,2.08778887642766,0.0958191595217549,0.14725608117292002,1,0,-0.0962803486376389,0.0337586757514844,3.0189120350918,0.48483244157624106,0.417350337173049,0.43774082378444606,11.999,16.0949846550706,-0.314106704511049,0.264352596413739,4.46510498068936,0,19.609573453274397,0.15632640045628102,4.50328910537271,1.23264142626541,105.50770582708799,-0.74
2.965,0,5,3,3,0,0,0,2,2.06786383531175,20.6284273289767,20.6284273289767,80.29,0.833333333333333,0.8974101414726751,0.0909090909090909,3.12291915001374,2.33943418712403,4.548854739162099,0.33333333333333304,0.111111111111111,2.15939800304,0.0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0.313725490196078,2.3764640110224704,0.0958191595217549,0.14725608117292002,2,0,-0.13338710121031,-0.20155869385928601,2.94859071073429,0.456252260259817,0.409505821198499,0.40731726881444297,11.999,16.095028435717403,-0.316354084807289,0.26477318810644696,4.34494266234689,0,16.2933795378305,0.12328089853224301,0.348931620858494,2.0649746188961897,127.27648036597401,0.37
