XLogP,MW,LipinskiFailures,nRotB,nAtomLAC,nAtomP,nBase,ALogP,nAcid,nSmallRings,nRings5,nRings7,tpsaEfficiency,WTPT.3,WTPT.5,topoShape,geomShape,MDEC.11,MDEC.12,MDEC.13,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.22,MDEN.23,khs.dCH2,khs.ssCH2,khs.dsCH,khs.dssC,khs.aaaC,khs.sNH2,khs.ssNH,khs.dsN,khs.aaN,khs.sssN,khs.sOH,khs.dO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,FMF,SC.3,SC.4,SC.6,SCH.6,C1SP2,C1SP3,C4SP3,ATSc4,ATSc5,Wlambda1.unity,Wlambda2.unity,Wnu1.unity,Weta1.unity,Weta2.unity,Weta3.unity,WD.unity,BCUTw.1l,BCUTc.1l,BCUTc.1h,BCUTp.1l,PNSA.1,PNSA.3,RPCG,RPCS,RNCS,y_var
3.608,296.162373868001,0,1,2,3,0,0.125000000000003,0,5,0,2,0.182298646836425,15.1069845610343,0.0,1.0,0.75510488874809,0.431527186998591,3.92166300044443,4.77836488566135,3.53952919598311,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.35555555555555607,2.36408224272676,0.244818077040614,0.0895762464275441,0.138427268806371,1,4,0,-0.0973599336587515,0.0385595418963993,1.03504574985461,3.4673903574266296,0.0918779677658144,0.496616065817786,0.45192183913157896,0.465838663291334,1.4143765682407001,11.999,-0.314395859031156,0.267461687905785,4.90228256001586,118.850507975813,-24.3530641439188,0.163394462450158,0.11818631649969198,1.95831324637679,1.4
5.8839999999999995,352.224974124001,1,5,6,3,0,-0.483400000000003,0,5,0,2,0.15328271407862398,15.1575001058514,0.0,1.0,0.8069038737329829,0.32424965862401395,5.16492298358262,3.72561284464846,4.33048088070341,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.280701754385965,2.36408224272676,0.244818077040614,0.0895762464275441,0.138427268806371,1,4,0,-0.0973631978706951,0.0385694309825952,0.9554991427259659,3.0070083590220897,0.0450139521548805,0.48345793312030205,0.36156366395379796,0.466187013132406,1.31120861020651,11.999,-0.31440808104187,0.26748674712793397,5.0496371370832405,149.50212756149298,-26.573955819652,0.144581466034498,0.763877878311083,1.8779769393987802,0.86
4.685,324.193673996001,0,2,3,3,0,0.996999999999999,0,5,0,2,0.16653625388343,15.138727667049501,0.0,0.8,0.8050417574740479,0.9531842929969371,4.54615554668197,7.004430672363441,3.53952919598311,8.04717859695025,5.38460330978242,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.313725490196078,2.77233053319062,0.244818077040614,0.0895762464275441,0.138427268806371,1,5,0,-0.0973663476105031,0.0385791531605612,1.2789242746571399,3.00705045053192,0.0965568785704977,0.48588729515151596,0.439398039366222,0.503831929947563,1.4291172644653,11.999,-0.314401962258266,0.267488678771385,5.05946885479638,125.633288327222,-25.2982968581533,0.15383539980404698,0.22738204591588396,1.87451121605573,-0.55
5.8229999999999995,352.224974124001,1,4,5,3,0,1.1578,0,5,0,2,0.15328271407862398,15.1553327733918,0.0,0.833333333333333,0.868295387864625,0.827605714964634,5.5932439208107105,5.9070016829720995,4.03780147086359,7.08457833300813,5.13783003469284,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.280701754385965,2.77233053319062,0.244818077040614,0.0895762464275441,0.138427268806371,1,5,0,-0.0973631978811164,0.0385694308981264,1.0439831728576299,3.12090853341246,0.0544751975944764,0.48221626003574697,0.379992404397204,0.516685867038903,1.37889453147185,11.999,-0.31440802580987,0.26748681139937097,5.05946749910785,136.120849083993,-24.935401831594895,0.14497655591852,0.7614059685359241,1.91222901701498,-0.04
4.1160000000000005,310.178023932001,0,1,3,3,0,0.9346,0,5,0,2,0.174061331991192,15.1165875252598,0.0,1.0,0.7738840427093829,1.03647389205951,3.7722323173544705,7.876890297127759,3.13459129979334,8.90736109320038,5.55724857085938,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33333333333333304,2.67244392368325,0.244818077040614,0.0895762464275441,0.138427268806371,1,5,0,-0.09700580497290302,0.0383304868835776,1.1310595894381499,3.31697927093589,0.094751406545898,0.518167207095616,0.45905550255328603,0.517731191432447,1.4949539010813502,11.999,-0.31439889227212897,0.267729988467882,5.05946962788295,116.576322143848,-23.0325141183531,0.15868413812979598,0.144721662413073,1.93182170580173,-0.04
5.254,338.209324060001,1,3,4,3,0,1.4458,0,5,0,2,0.159634865626655,15.1497977379444,0.0,1.0,0.96164879379858,0.8848579141499341,5.13076952761332,6.3826382760385405,3.82565667440033,7.4925629648242,5.24915368318697,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.296296296296296,2.77233053319062,0.244818077040614,0.0895762464275441,0.138427268806371,1,5,0,-0.0973632130285525,0.0385693891853677,1.04177430537138,3.15136164063516,0.0630522109849473,0.505638747230149,0.40698636847085295,0.514625029254706,1.4272501449557098,11.999,-0.314405002952824,0.267483099383994,5.05946812560976,116.76920284281,-23.038976905447,0.14928089704424,0.136145804119918,1.8190778523154199,0.07
5.74,406.154701644001,1,4,3,6,0,2.4423,0,6,0,2,0.132929644249995,17.820024511730498,0.0,0.857142857142857,0.756396782785621,0.0,2.06726261285032,1.69208837690545,6.39707664368214,4.70209616031129,4.68586279571943,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.45454545454545503,2.5805881562544,0.193041381743977,0.0958191595217549,0.230589414506254,1,2,0,-0.0943083903731558,0.0226832674065701,1.31542171372156,3.22697396945669,0.0676679276062613,0.495890855664609,0.42505335818004397,0.485878111346334,1.40682232519099,11.999,-0.31412406566187895,0.264379063018443,4.472998633028441,246.30753992582902,-37.0441046884479,0.13495033137357101,0.305568427369989,0.9818851336416851,0.1
4.5489999999999995,358.17802393200105,0,3,2,6,0,1.9385,0,6,0,2,0.150735099287526,15.3052197106444,0.0,0.833333333333333,0.809724372963037,0.0,2.0815912553816203,1.76638776450072,6.45462693304211,4.548854739162099,4.947300964350769,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.46153846153846206,2.2919130216595898,0.193041381743977,0.0958191595217549,0.24931815378888603,1,2,0,-0.11319932805222802,0.0430836154712007,1.37643205755359,2.65209445470577,0.0777760581650222,0.499218523366568,0.345990100661218,0.451566873151144,1.2967754971789298,11.999,-0.314106917339335,0.264368565773298,4.47502610231629,170.72799561993,-27.755840336684198,0.139508853116659,0.315890301395711,0.991409780599207,-2.0
4.242,310.178023932001,0,3,4,3,0,-0.3228,0,5,0,2,0.174061331991192,15.269076403621199,0.0,0.8,0.9658498878919959,0.111111111111111,3.6862082726157497,2.1798065437387,5.748865791409349,4.20685701919088,4.610539557408639,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33333333333333304,2.08778887642766,0.193041381743977,0.0958191595217549,0.14725608117292002,1,3,0,-0.0962803486376389,0.0337586757514844,0.9958181246128941,3.0189120350918,0.0720647043603301,0.48483244157624106,0.417350337173049,0.43774082378444606,1.33992360253374,11.999,-0.314106704511049,0.264352596413739,4.46510498068936,108.236334490117,-23.427294377276603,0.15632640045628102,4.50328910537271,1.23264142626541,-0.74
2.965,354.16785317200106,0,5,3,3,0,0.498300000000001,0,5,0,2,0.22670041699410604,20.6284273289767,0.0,0.833333333333333,0.8974101414726751,0.0909090909090909,3.12291915001374,2.33943418712403,5.46900036262758,4.548854739162099,4.947300964350769,0.33333333333333304,0.111111111111111,2.15939800304,3.03420430974868,0.0,0.0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.313725490196078,2.3764640110224704,0.193041381743977,0.0958191595217549,0.14725608117292002,2,4,0,-0.13338710121031,-0.20155869385928601,0.941421104775237,2.94859071073429,0.0500381669956374,0.456252260259817,0.409505821198499,0.40731726881444297,1.2730753502727599,11.999,-0.316354084807289,0.26477318810644696,4.34494266234689,148.231696944812,-35.0155336605632,0.12328089853224301,0.348931620858494,2.0649746188961897,0.37
