khs.dssC,SC.6,nAtomLAC,khs.sCl,khs.dsssP,nRings7,MDEN.22,khs.sNH2,RPCS,ATSc4,BCUTc.1l,ATSc5,nAcid,BCUTp.1l,C4SP3,RNCS,Weta1.unity,LipinskiFailures,khs.dsN,Weta2.unity,khs.aaO,Weta3.unity,Wlambda2.unity,BCUTw.1l,khs.dsCH,khs.aaaC,geomShape,MDEN.23,topoShape,nBase,khs.dCH2
0,0.0958191595217549,3,0,0,1,0.0,0,0.574189639749301,0.0361088840345345,-0.3576535318926021,-0.055387660407735996,0,6.08959765625,0,3.4934345427716202,0.499611507042802,0,0,0.4539822040905189,0,0.45670961844243696,3.0473534938184303,11.9966689912692,0,0,0.796880302340751,0.0,1.0,0,0
1,0.0895762464275441,2,0,0,1,0.0,0,0.29688316039541995,-0.0681942437413777,-0.357815486199433,-0.048013638743537,0,5.07879280789604,0,1.3512768418218501,0.320027560861446,0,0,0.40868526469790706,0,0.444322560601215,3.42894785086062,11.9966440057149,0,0,0.775068016412925,0.0,0.833333333333333,0,0
1,0.0895762464275441,3,0,0,1,0.0,0,0.4155600244053621,-0.0690495228576738,-0.357817104217456,-0.0255173634263772,0,5.058755363692749,0,1.2241670635264499,0.399056633498548,1,0,0.374136893745391,0,0.500764336959514,3.284498699055,11.996640203873,0,0,0.6591420650231109,0.0,1.0,0,0
1,0.0895762464275441,0,0,0,1,0.0,0,0.5014201833696971,-0.0728487760749304,-0.357804523724917,-0.0296586033626417,0,4.72434649372501,0,1.6053468547544398,0.45078391931446,0,0,0.5206324386058521,0,0.5140097020823939,3.73164162852723,11.996683082097,0,0,0.758391253404278,0.0,0.75,0,0
0,0.0895762464275441,0,0,0,2,0.0,0,0.0,0.0011734685113429198,-0.348671323983212,0.0306043666583532,0,6.3497444903880504,0,3.8074004035600697,0.48668734429363303,0,0,0.506858253211087,0,0.48081718521346,3.3946107197082998,11.999,0,0,0.8441010372250071,0.0,0.75,0,0
0,0.0895762464275441,0,0,0,2,0.0,0,3.1294236212751003,-0.0716071711155344,-0.36720569889664395,0.0432614538183149,0,5.21159498108803,0,4.55981547962278,0.49163154435501705,0,0,0.48851541770185003,0,0.49557340249361403,3.6242095809011,11.999,0,0,0.843742301160043,0.0,0.75,0,0
0,0.0895762464275441,2,0,0,2,0.0,0,0.0,-0.138315428350991,-0.351972720042101,0.0975351824917399,0,5.04814323568292,0,0.783351457070622,0.45049966642200606,0,0,0.415825603937411,0,0.432689530105772,4.1541077436383995,11.999,0,0,0.757536024160227,0.0,0.8,0,0
0,0.0895762464275441,4,0,0,2,0.0,0,2.8032981844738503,-0.0714909135346491,-0.36720320146102897,0.0431899684335519,0,5.32809098618613,0,4.2012957584217,0.504325216298539,0,0,0.43733719040895497,0,0.438013667176769,3.13293272667822,11.999,0,0,0.9650732227460741,0.0,1.0,0,0
0,0.0958191595217549,0,0,0,2,0.0,0,0.0,0.0017064352054178698,-0.348940239303978,0.0291338907086238,0,6.330098108555701,0,4.20409395227192,0.50041276502345,0,0,0.468159943400502,0,0.43305909369387396,3.28414774532334,11.999,0,0,0.786810604589583,0.0,0.5,0,0
0,0.228113628298213,0,0,0,2,0.5,0,0.0,-0.142325287931919,-0.328439664130983,0.12482798734168099,0,6.49166445818596,0,1.93592745073477,0.34987258570805696,0,0,0.42693878706143296,0,0.35165096945155894,4.59520646359249,11.9989999999999,0,0,0.8465035009753721,0.0,1.0,0,0
